id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
52490036,"Bright & Cozy 2 Bdrm in heart of Williamsburg, BK",Brooklyn,Williamsburg,40.71206,-73.95286,Entire home/apt,250,3,30,290.0,POINT (-73.95286 40.71206)
52586825,Lovely huge studio by the water in Williamsburg,Brooklyn,Williamsburg,40.71904,-73.96252,Private room,160,9,30,,POINT (-73.96252 40.71904)
52609678,Cozy 1-bedroom in Williamsburg,Brooklyn,Williamsburg,40.70752,-73.95239,Entire home/apt,110,5,30,,POINT (-73.95239 40.70752)
52755364,2 Rooms in Dreamy N Williamsburg w/ Huge Backyard!,Brooklyn,Williamsburg,40.71685,-73.95612,Private room,375,30,30,476.0,POINT (-73.95612 40.71685)
52621315,Artists' Studio in the heart of Williamsburg,Brooklyn,Williamsburg,40.71499,-73.95223,Entire home/apt,135,30,30,,POINT (-73.95223 40.71499)
52868962,"Lovely 3-bedroom, 1.5-baths apartment in Bklyn",Brooklyn,Williamsburg,40.70873,-73.96518,Entire home/apt,179,365,365,179.0,POINT (-73.96518 40.70873)
52823884,Park-side Single family townhouse with parking.,Brooklyn,Williamsburg,40.71788,-73.93775,Entire home/apt,800,3,30,800.0,POINT (-73.93775 40.71788)
52824025,Amazing NewAptBright in the Heart of Williamsburg,Brooklyn,Williamsburg,40.71307,-73.95633,Entire home/apt,474,2,30,269.0,POINT (-73.95633 40.71307)
52838667,Luxury Hotspot in Williamsburg - Best Location!,Brooklyn,Williamsburg,40.7135,-73.95225,Entire home/apt,170,30,30,225.0,POINT (-73.95225 40.7135)
52852431,Artful 3-Bedroom Townhouse in Williamsburg,Brooklyn,Williamsburg,40.70771,-73.95083,Entire home/apt,392,1,4,442.0,POINT (-73.95083 40.70771)
52972242,Sun-Drenched Room w/PRIVATE BALCONY (Williamsburg),Brooklyn,Williamsburg,40.71094,-73.96227,Private room,65,2,30,61.0,POINT (-73.96227 40.71094)
52995076,Amazing 1BR condo in the heart of Williamsburg,Brooklyn,Williamsburg,40.71516,-73.96019,Entire home/apt,315,4,30,,POINT (-73.96019 40.71516)
52934401,The East wing,Brooklyn,Williamsburg,40.71811,-73.9583,Private room,130,1,30,200.0,POINT (-73.9583 40.71811)
52934402,Perfect location in prime Williamsburg!,Brooklyn,Williamsburg,40.71226,-73.95852,Private room,95,1,30,95.0,POINT (-73.95852 40.71226)
53051569,Cozy basement room,Brooklyn,Williamsburg,40.70986,-73.95652,Private room,80,31,30,80.0,POINT (-73.95652 40.70986)
53110748,Bright 2BR in Williamsburg (Steps to the Subway!),Brooklyn,Williamsburg,40.71283,-73.94781,Entire home/apt,139,30,30,144.0,POINT (-73.94781 40.71283)
53122420,Sunlit design studio in the heart of Williamsburg,Brooklyn,Williamsburg,40.71102,-73.95851,Entire home/apt,195,5,30,195.0,POINT (-73.95851 40.71102)
53189912,"Bright, Spacious 1BR Loft With Private Terrace",Brooklyn,Williamsburg,40.71349,-73.94011,Entire home/apt,230,29,30,250.0,POINT (-73.94011 40.71349)
53231861,"Bright, Modern 1BR/2BA, near park",Brooklyn,Williamsburg,40.71763,-73.95333,Entire home/apt,250,30,30,175.0,POINT (-73.95333 40.71763)
53199638,Sun-drenched Artistic 2 bedroom loft,Brooklyn,Williamsburg,40.71096,-73.96302,Entire home/apt,216,5,30,,POINT (-73.96302 40.71096)
53258827,Scandinavian esthetic 1 bedroom in Williamsburg,Brooklyn,Williamsburg,40.71308,-73.94386,Entire home/apt,220,14,30,,POINT (-73.94386 40.71308)
53259051,Sun-Drenched 1BR w/PRIVATE BALCONY (Williamsburg!),Brooklyn,Williamsburg,40.71228,-73.96428,Entire home/apt,175,2,30,,POINT (-73.96428 40.71228)
53260928,*Williamsburg Luxury PRIVATE Triplex Home*,Brooklyn,Williamsburg,40.71131,-73.94721,Entire home/apt,600,3,30,700.0,POINT (-73.94721 40.71131)
53326420,2 BR | 2 Bath - Luxury Family Stay @ Williamsburg,Brooklyn,Williamsburg,40.71932,-73.95471,Entire home/apt,225,3,30,,POINT (-73.95471 40.71932)
